ID|domain|text|USER_age|USER_gender|USER_domain_knowledge|KEYFACTS_annotator1|KEYFACTS_annotator2|KEYFACTS_annotator3|KEYFACTS_annotator4|KEYFACTS_annotation_by_2|KEYFACTS_IAA|KEYFACTS_segments|VAGUE_annotator1|VAGUE_annotator2|VAGUE_annotator3|VAGUE_annotator4|VAGUE_annotation_by_2|VAGUE_IAA|
1062|laptop|The laptop i want to choose as a replacement is a the silver apple macbook pro, but the smaller screen so the thirteen inch one. |20|female|5|[['silver', 54], ['apple', 61], ['macbook', 67], ['pro', 75], ['thirteen', 110], ['inch', 119]]|[['silver', 54], ['apple', 61], ['macbook', 67], ['pro', 75], ['thirteen', 110], ['inch', 119]]|[['silver', 54], ['apple', 61], ['macbook', 67], ['pro', 75], ['smaller', 88], ['screen', 96], ['thirteen', 110], ['inch', 119]]||[['silver', 54], ['apple', 61], ['macbook', 67], ['pro', 75], ['thirteen', 110], ['inch', 119]]|0.8654545454545455|['thirteen inch', 'silver', 'apple macbook pro']|[['smaller', 88]]|[]|[['smaller', 88]]||[['smaller', 88]]|0.4928571428571429|
1063|laptop|Something that was versatile and also powerful.  Ideally, it would have a large screen with very good image clarity and fast response time.|46|male|3|[['versatile', 19], ['powerful', 38], ['large', 74], ['screen', 80], ['very', 92], ['good', 97], ['image', 102], ['clarity', 108], ['fast', 120], ['response', 125], ['time', 134]]|[['large', 74], ['screen', 80], ['good', 97], ['image', 102], ['clarity', 108], ['fast', 120], ['response', 125], ['time', 134]]|[['versatile', 19], ['powerful', 38], ['large', 74], ['screen', 80], ['very', 92], ['good', 97], ['image', 102], ['clarity', 108], ['fast', 120], ['response', 125], ['time', 134]]||[['versatile', 19], ['powerful', 38], ['large', 74], ['screen', 80], ['very', 92], ['good', 97], ['image', 102], ['clarity', 108], ['fast', 120], ['response', 125], ['time', 134]]|0.8256410256410256|['fast response time', 'very good image clarity', 'large screen', 'powerful', 'versatile']|[['versatile', 19], ['powerful', 38], ['large', 74], ['very', 92], ['good', 97], ['fast', 120]]|[['versatile', 19], ['powerful', 38], ['large', 74], ['very', 92], ['fast', 120]]|[['Something', 0], ['versatile', 19], ['powerful', 38], ['large', 74], ['very', 92], ['good', 97], ['fast', 120]]||[['versatile', 19], ['powerful', 38], ['large', 74], ['very', 92], ['good', 97], ['fast', 120]]|0.849537037037037|
1064|laptop|I want a laptop that has word so I can keep up with my writing , WiFi for internet with lots of space g/ram so it doesn't slow down. Want a big screen with cam , I want it to be in green as it's my favourite colour. Want to be able to upload and edit all my pics and vids. Also I will need it to be a fair price maybe between 300-500 with a warranty for at lest a year. |30|male|3|[['has', 21], ['word', 25], ['wifi', 65], ['for', 70], ['internet', 74], ['lots', 88], ['of', 93], ['space', 96], ['g', 102], ['ram', 104], ['so', 108], ['big', 140], ['screen', 144], ['with', 151], ['cam', 156], ['green', 181], ['upload', 235], ['and', 242], ['edit', 246], ['all', 251], ['my', 255], ['pics', 258], ['and', 263], ['vids', 267], ['fair', 301], ['price', 306], ['between', 318], ['300', 326], ['500', 330], ['warranty', 341], ['for', 350], ['at', 354], ['lest', 357], ['a', 362], ['year', 364]]|[['word', 25], ['wifi', 65], ['lots', 88], ['of', 93], ['space', 96], ['g', 102], ['ram', 104], ['big', 140], ['screen', 144], ['cam', 156], ['green', 181], ['upload', 235], ['and', 242], ['edit', 246], ['all', 251], ['my', 255], ['pics', 258], ['and', 263], ['vids', 267], ['300', 326], ['500', 330], ['warranty', 341], ['for', 350], ['at', 354], ['lest', 357], ['a', 362], ['year', 364]]|[['word', 25], ['writing', 55], ['wifi', 65], ['lots', 88], ['of', 93], ['space', 96], ['g', 102], ['ram', 104], ['big', 140], ['screen', 144], ['cam', 156], ['green', 181], ['fair', 301], ['price', 306], ['between', 318], ['300', 326], ['500', 330], ['warranty', 341], ['for', 350], ['at', 354], ['lest', 357], ['a', 362], ['year', 364]]||[['word', 25], ['wifi', 65], ['lots', 88], ['of', 93], ['space', 96], ['g', 102], ['ram', 104], ['big', 140], ['screen', 144], ['cam', 156], ['green', 181], ['upload', 235], ['and', 242], ['edit', 246], ['all', 251], ['my', 255], ['pics', 258], ['and', 263], ['vids', 267], ['fair', 301], ['price', 306], ['between', 318], ['300', 326], ['500', 330], ['warranty', 341], ['for', 350], ['at', 354], ['lest', 357], ['a', 362], ['year', 364]]|0.6994011976047905|['between 300-500', 'cam', 'big screen', 'WiFi', 'green', 'warranty for at lest a year', 'upload and edit all my pics and vids', 'fair price', 'word', 'lots of space g/ram']|[['lots', 88], ['of', 93], ['big', 140], ['fair', 301]]|[['lots', 88], ['big', 140], ['fair', 301]]|[['big', 140], ['fair', 301]]||[['lots', 88], ['big', 140], ['fair', 301]]|0.7703703703703704|
1065|laptop|Anything with high power capabilities/a gaming laptop.|23|female|6|[['high', 14], ['power', 19], ['capabilities', 25], ['gaming', 40], ['laptop', 47]]|[['high', 14], ['power', 19], ['capabilities', 25], ['gaming', 40], ['laptop', 47]]|[['high', 14], ['power', 19], ['gaming', 40]]||[['high', 14], ['power', 19], ['capabilities', 25], ['gaming', 40], ['laptop', 47]]|0.6783216783216783|['gaming laptop', 'high power capabilities']|[['high', 14]]|[['high', 14]]|[['high', 14]]||[['high', 14]]|1.0|
1066|laptop|A slim,lightweight gaming laptop that would be 1080p resolution preferably asus ROG|28|female|5|[['slim', 2], ['lightweight', 7], ['gaming', 19], ['1080p', 47], ['asus', 75], ['rog', 80]]|[['slim', 2], ['lightweight', 7], ['gaming', 19], ['1080p', 47], ['resolution', 53], ['asus', 75], ['rog', 80]]|[['slim', 2], ['lightweight', 7], ['gaming', 19], ['1080p', 47], ['resolution', 53], ['asus', 75], ['rog', 80]]||[['slim', 2], ['lightweight', 7], ['gaming', 19], ['1080p', 47], ['resolution', 53], ['asus', 75], ['rog', 80]]|0.9|['lightweight', 'slim', 'asus ROG', '1080p resolution', 'gaming']|[['slim', 2], ['lightweight', 9]]|[['lightweight', 9]]|[['slim', 2], ['lightweight', 9]]||[['slim', 2], ['lightweight', 9]]|0.7764705882352941|
1068|laptop|I would want a laptop that has a large storage space, a long battery but a decent price.|27|female|2|[['large', 33], ['storage', 39], ['space', 47], ['long', 56], ['battery', 61], ['but', 69], ['decent', 75], ['price', 82]]|[['large', 33], ['storage', 39], ['space', 47], ['long', 56], ['battery', 61], ['decent', 75], ['price', 82]]|[['large', 33], ['storage', 39], ['space', 47], ['long', 56], ['battery', 61], ['decent', 75], ['price', 82]]||[['large', 33], ['storage', 39], ['space', 47], ['long', 56], ['battery', 61], ['decent', 75], ['price', 82]]|0.9247159090909091|['decent price', 'long battery', 'large storage space']|[['large', 33], ['long', 56], ['decent', 75]]|[['large', 33], ['long', 56], ['decent', 75]]|[['large', 33], ['long', 56], ['decent', 75]]||[['large', 33], ['long', 56], ['decent', 75]]|1.0|
1069|laptop|I would buy a refurbished laptop rather than a new one, in order to save money. I am not at all concerned about the colour, but would like a brand that is reliable and trustworthy. The most important feature would be the storage space because I would like to save lots of games and photos on there.|30|female|3|[['refurbished', 14], ['new', 47], ['brand', 141], ['that', 147], ['is', 152], ['reliable', 155], ['and', 164], ['trustworthy', 168], ['storage', 221], ['space', 229], ['lots', 264], ['of', 269], ['games', 272], ['and', 278], ['photos', 282]]|[['brand', 141], ['that', 147], ['is', 152], ['reliable', 155], ['and', 164], ['trustworthy', 168], ['storage', 221], ['space', 229], ['because', 235]]|[['refurbished', 14], ['new', 47], ['brand', 141], ['that', 147], ['is', 152], ['reliable', 155], ['and', 164], ['trustworthy', 168], ['storage', 221], ['space', 229]]||[['refurbished', 14], ['new', 47], ['brand', 141], ['that', 147], ['is', 152], ['reliable', 155], ['and', 164], ['trustworthy', 168], ['storage', 221], ['space', 229]]|0.7080291970802919|['new', 'brand that is reliable and trustworthy', 'refurbished', 'storage space']|[['reliable', 155], ['trustworthy', 168]]|[['reliable', 155], ['trustworthy', 168], ['lots', 264]]|[['reliable', 155], ['trustworthy', 168], ['lots', 264], ['of', 269]]||[['reliable', 155], ['trustworthy', 168], ['lots', 264]]|0.76659678546471|
1070|laptop|As a replacement I would want a Apple Mac because my iPhone seems to be reliable and I have heard apple laptops are too.|24|female|5|[['apple', 32], ['mac', 38]]|[['apple', 32], ['mac', 38]]|[['apple', 32], ['mac', 38], ['reliable', 72], ['apple', 98]]||[['apple', 32], ['mac', 38]]|0.72265625|['Apple Mac']|[['reliable', 72]]|[['reliable', 72]]|[['reliable', 72]]||[['reliable', 72]]|1.0|
1071|laptop|a macbook pro, preferably a newer model but with no touchbar|25|female|4|[['macbook', 2], ['pro', 10], ['newer', 28], ['model', 34], ['touchbar', 52]]|[['macbook', 2], ['pro', 10], ['newer', 28], ['model', 34], ['but', 40], ['touchbar', 52]]|[['macbook', 2], ['pro', 10], ['newer', 28], ['model', 34], ['touchbar', 52]]||[['macbook', 2], ['pro', 10], ['newer', 28], ['model', 34], ['touchbar', 52]]|0.8823529411764706|['touchbar', 'macbook pro', 'newer model']|[['preferably', 15], ['newer', 28]]|[['newer', 28]]|[['preferably', 15], ['newer', 28]]||[['preferably', 15], ['newer', 28]]|0.7714285714285715|
1072|laptop|I would like to replace the laptop with an updated version of an Apple laptop, as this will have all the latest technology and hopefully would last for many years.|64|female|2|[['updated', 43], ['version', 51], ['apple', 65], ['latest', 105], ['technology', 112], ['last', 143], ['for', 148], ['many', 152], ['years', 157]]|[['apple', 65], ['laptop', 71], ['latest', 105], ['technology', 112], ['and', 123]]|[['apple', 65], ['latest', 105], ['technology', 112], ['last', 143], ['for', 148], ['many', 152], ['years', 157]]||[['apple', 65], ['latest', 105], ['technology', 112], ['last', 143], ['for', 148], ['many', 152], ['years', 157]]|0.5086266390614216|['last for many years', 'Apple', 'latest technology']|[['updated', 43], ['latest', 105], ['technology', 112], ['many', 152]]|[['latest', 105], ['many', 152]]|[['updated', 43], ['latest', 105], ['hopefully', 127], ['last', 143], ['for', 148], ['many', 152]]||[['updated', 43], ['latest', 105], ['many', 152]]|0.5222222222222223|
1073|laptop|I would choose a laptop that is similar to my current one that broke down. I would want it to look aesthetically pleasing and have sufficient battery life to last me the whole work day. A touch screen would be a plus.|18|female|4|[['aesthetically', 99], ['pleasing', 113], ['and', 122], ['sufficient', 131], ['battery', 142], ['life', 150], ['touch', 188], ['screen', 194]]|[['aesthetically', 99], ['sufficient', 131], ['battery', 142], ['life', 150], ['touch', 188], ['screen', 194]]|[['aesthetically', 99], ['pleasing', 113], ['sufficient', 131], ['battery', 142], ['life', 150], ['whole', 170], ['work', 176], ['day', 181], ['touch', 188], ['screen', 194]]||[['aesthetically', 99], ['pleasing', 113], ['sufficient', 131], ['battery', 142], ['life', 150], ['touch', 188], ['screen', 194]]|0.7446895424836601|['sufficient battery life', 'touch screen', 'aesthetically pleasing']|[['similar', 32], ['aesthetically', 99], ['pleasing', 113], ['sufficient', 131]]|[['similar', 32], ['aesthetically', 99], ['pleasing', 113], ['sufficient', 131]]|[['aesthetically', 99], ['pleasing', 113], ['sufficient', 131]]||[['similar', 32], ['aesthetically', 99], ['pleasing', 113], ['sufficient', 131]]|0.900974025974026|
1074|laptop|I want to get a new laptop which has a windows operating system, it needs to be the kind that the screen can detach from the keyboard so that it can be used as a laptop or a tablet. It must have at least a 10 inch screen with good graphics.|53|female|4|[['new', 16], ['windows', 39], ['operating', 47], ['system', 57], ['screen', 98], ['can', 105], ['detach', 109], ['from', 116], ['the', 121], ['keyboard', 125], ['so', 134], ['used', 152], ['as', 157], ['a', 160], ['laptop', 162], ['or', 169], ['a', 172], ['tablet', 174], ['at', 195], ['least', 198], ['a', 204], ['10', 206], ['inch', 209], ['screen', 214], ['good', 226], ['graphics', 231]]|[['windows', 39], ['laptop', 162], ['or', 169], ['a', 172], ['tablet', 174], ['10', 206], ['inch', 209], ['screen', 214], ['with', 221], ['good', 226], ['graphics', 231]]|[['new', 16], ['windows', 39], ['detach', 109], ['from', 116], ['the', 121], ['keyboard', 125], ['10', 206], ['inch', 209], ['screen', 214], ['with', 221], ['good', 226], ['graphics', 231]]||[['new', 16], ['windows', 39], ['detach', 109], ['from', 116], ['the', 121], ['keyboard', 125], ['laptop', 162], ['or', 169], ['a', 172], ['tablet', 174], ['10', 206], ['inch', 209], ['screen', 214], ['with', 221], ['good', 226], ['graphics', 231]]|0.37362637362637363|['new', 'good graphics', 'windows', '10 inch screen', 'laptop or a tablet', 'detach from the keyboard', '']|[['at', 195], ['least', 198], ['good', 226]]|[['good', 226]]|[['good', 226]]||[['good', 226]]|0.5889655172413792|
1075|laptop|Black, high RAM capacity, touchscreen, hybrid HDD or SSD.|19|male|7|[['black', 0], ['high', 7], ['ram', 12], ['capacity', 16], ['touchscreen', 26], ['hybrid', 39], ['hdd', 46], ['or', 50], ['ssd', 53]]|[['black', 0], ['high', 7], ['ram', 12], ['capacity', 16], ['touchscreen', 26], ['hybrid', 39], ['hdd', 46], ['ssd', 53]]|[['black', 0], ['high', 7], ['ram', 12], ['capacity', 16], ['touchscreen', 26], ['hdd', 46], ['ssd', 53]]||[['black', 0], ['high', 7], ['ram', 12], ['capacity', 16], ['touchscreen', 26], ['hybrid', 39], ['hdd', 46], ['ssd', 53]]|0.2777777777777778|['Black', 'high RAM capacity', 'SSD', 'touchscreen', 'HDD']|[['high', 8]]|[['high', 8], ['ram', 13]]|[['high', 8]]||[['high', 8]]|0.717391304347826|
1076|laptop|I would choose a small laptop that had great battery life and good specs|22|male|7|[['small', 17], ['great', 39], ['battery', 45], ['life', 53], ['good', 62], ['specs', 67]]|[['small', 17], ['great', 39], ['battery', 45], ['life', 53], ['good', 62], ['specs', 67]]|[['small', 17], ['great', 39], ['battery', 45], ['life', 53], ['good', 62], ['specs', 67]]||[['small', 17], ['great', 39], ['battery', 45], ['life', 53], ['good', 62], ['specs', 67]]|1.0|['good specs', 'great battery life', 'small']|[['good', 62]]|[['good', 62]]|[['small', 17], ['good', 62]]||[['good', 62]]|0.7302631578947368|
1077|laptop|"I would be relatively open on operating system (i.e. Windows / Mac / Chromebook). My current laptop is a Chromebook, which I have found to be perfect for my needs as it is mostly browsing. I also have a Windows laptop for work, so I can use this if necessary (not I've not found it to be, so far). 

I would look for something relatively portable and ideally with a touchscreen. "|31|male|7|[['open', 22], ['on', 27], ['operating', 30], ['system', 40], ['windows', 53], ['mac', 63], ['chromebook', 69], ['portable', 336], ['ideally', 349], ['touchscreen', 364]]|[['windows', 53], ['mac', 63], ['chromebook', 69], ['portable', 336], ['touchscreen', 364]]|[['windows', 53], ['mac', 63], ['chromebook', 69], ['browsing', 179], ['portable', 336], ['touchscreen', 364]]||[['windows', 53], ['mac', 63], ['chromebook', 69], ['portable', 336], ['touchscreen', 364]]|0.6845238095238095|['Chromebook', 'Windows', 'portable', 'touchscreen', 'Mac']|[['relatively', 12], ['open', 23], ['perfect', 143], ['relatively', 328], ['portable', 339], ['ideally', 352]]|[['relatively', 328], ['portable', 339]]|[['relatively', 12], ['perfect', 143], ['mostly', 173], ['something', 318], ['relatively', 328], ['portable', 339], ['ideally', 352]]||[['relatively', 12], ['perfect', 143], ['relatively', 328], ['portable', 339], ['ideally', 352]]|0.5717171717171716|
1079|laptop|Solid state drive, fast, with copious memory. Two USB ports minimum. High resolution display. Prefer 12” monitor or larger, and prefer number pad. |28|female|5|[['solid', 0], ['state', 6], ['drive', 12], ['fast', 19], ['copious', 30], ['memory', 38], ['two', 46], ['usb', 50], ['ports', 54], ['minimum', 60], ['high', 69], ['resolution', 74], ['display', 85], ['12', 101], ['monitor', 105], ['or', 113], ['larger', 116], ['number', 135], ['pad', 142]]|[['solid', 0], ['state', 6], ['drive', 12], ['fast', 19], ['copious', 30], ['memory', 38], ['two', 46], ['usb', 50], ['ports', 54], ['minimum', 60], ['high', 69], ['resolution', 74], ['display', 85], ['12', 101], ['monitor', 105], ['or', 113], ['larger', 116], ['pad', 142]]|[['solid', 0], ['state', 6], ['drive', 12], ['fast', 19], ['copious', 30], ['memory', 38], ['two', 46], ['usb', 50], ['ports', 54], ['minimum', 60], ['high', 69], ['resolution', 74], ['display', 85], ['12', 101], ['monitor', 105], ['or', 113], ['larger', 116], ['number', 135], ['pad', 142]]||[['solid', 0], ['state', 6], ['drive', 12], ['fast', 19], ['copious', 30], ['memory', 38], ['two', 46], ['usb', 50], ['ports', 54], ['minimum', 60], ['high', 69], ['resolution', 74], ['display', 85], ['12', 101], ['monitor', 105], ['or', 113], ['larger', 116], ['number', 135], ['pad', 142]]|0.9065934065934066|['fast', 'Solid state drive', '12” monitor or larger', 'Two USB ports minimum', 'copious memory', 'number pad', 'High resolution display']|[['fast', 19], ['copious', 30], ['minimum', 60], ['High', 69], ['Prefer', 94], ['larger', 116], ['prefer', 128]]|[['fast', 19], ['copious', 30], ['High', 69], ['larger', 116]]|[]||[['fast', 19], ['copious', 30], ['High', 69], ['larger', 116]]|0.24793388429752072|
1080|laptop|I would want a replacement laptop that is fast and efficient. It will need a lot of memory as I am a PhD student and do a lot of work on my laptop. It will have to have a reasonably large hard-drive. It will need a large screen so that I can work for large amounts of time without having to squint!|30|female|6|[['fast', 42], ['efficient', 51], ['lot', 77], ['of', 81], ['memory', 84], ['lot', 122], ['of', 126], ['work', 129], ['on', 134], ['my', 137], ['laptop', 140], ['large', 182], ['hard', 188], ['drive', 193], ['large', 215], ['screen', 221]]|[['fast', 42], ['efficient', 51], ['lot', 77], ['of', 81], ['memory', 84], ['large', 182], ['hard', 188], ['drive', 193], ['large', 215], ['screen', 221]]|[['fast', 42], ['efficient', 51], ['a', 75], ['lot', 77], ['of', 81], ['memory', 84], ['large', 182], ['hard', 188], ['drive', 193], ['large', 215], ['screen', 221]]||[['fast', 42], ['efficient', 51], ['lot', 77], ['of', 81], ['memory', 84], ['large', 182], ['hard', 188], ['drive', 193], ['large', 215], ['screen', 221]]|0.7660028449502134|['large screen', 'fast', 'large hard-drive', 'efficient', 'lot of memory']|[['fast', 42], ['efficient', 51], ['a', 75], ['lot', 77], ['reasonably', 171], ['large', 182], ['large', 215], ['large', 251], ['amounts', 257]]|[['fast', 42], ['efficient', 51], ['a', 75], ['lot', 77], ['reasonably', 171], ['large', 182], ['large', 215]]|[['fast', 42], ['efficient', 51], ['a', 75], ['lot', 77], ['of', 81], ['reasonably', 171], ['large', 182], ['large', 215]]||[['fast', 42], ['efficient', 51], ['a', 75], ['lot', 77], ['reasonably', 171], ['large', 182], ['large', 215]]|0.8572530864197531|
1081|laptop|I would need a laptop with a discreet video card.  A gaming laptop.|49|male|7|[['discreet', 29], ['video', 38], ['card', 44], ['gaming', 53]]|[['discreet', 29], ['video', 38], ['card', 44], ['gaming', 53], ['laptop', 60]]|[['discreet', 29], ['video', 38], ['card', 44], ['gaming', 53]]||[['discreet', 29], ['video', 38], ['card', 44], ['gaming', 53]]|0.8875739644970414|['discreet video card', 'gaming']|[['discreet', 29], ['gaming', 53]]|[['discreet', 29], ['gaming', 53]]|[]||[['discreet', 29], ['gaming', 53]]|0.453125|
1082|laptop|I want to buy a laptop that is touchscreen and has a long battery time. I also want it to be sleek and lightweight.|33|female|5|[['touchscreen', 31], ['long', 53], ['battery', 58], ['time', 66], ['sleek', 93], ['lightweight', 103]]|[['touchscreen', 31], ['long', 53], ['battery', 58], ['time', 66], ['sleek', 93], ['lightweight', 103]]|[['touchscreen', 31], ['long', 53], ['battery', 58], ['time', 66], ['sleek', 93], ['lightweight', 103]]||[['touchscreen', 31], ['long', 53], ['battery', 58], ['time', 66], ['sleek', 93], ['lightweight', 103]]|1.0|['lightweight', 'touchscreen', 'sleek', 'long battery time']|[['long', 53], ['sleek', 93]]|[['long', 53], ['sleek', 93]]|[['long', 53], ['sleek', 93]]||[['long', 53], ['sleek', 93]]|1.0|
1083|laptop|I would want one that I can do anything on, like the one I had before. An MSI gaming laptop most likely, with fast processing power and good internet capabilities.|23|female|3|[['msi', 74], ['gaming', 78], ['fast', 110], ['processing', 115], ['power', 126], ['good', 136], ['internet', 141], ['capabilities', 150]]|[['msi', 74], ['gaming', 78], ['laptop', 85], ['fast', 110], ['processing', 115], ['power', 126], ['and', 132], ['good', 136], ['internet', 141], ['capabilities', 150]]|[['can', 24], ['do', 28], ['anything', 31], ['msi', 74], ['gaming', 78], ['fast', 110], ['processing', 115], ['power', 126], ['good', 136], ['internet', 141], ['capabilities', 150]]||[['msi', 74], ['gaming', 78], ['fast', 110], ['processing', 115], ['power', 126], ['good', 136], ['internet', 141], ['capabilities', 150]]|0.7484454494064443|['MSI gaming', 'good internet capabilities', 'fast processing power']|[['anything', 31], ['before', 63], ['gaming', 78], ['fast', 110], ['good', 136]]|[['gaming', 78], ['fast', 110], ['good', 136]]|[['likely', 97], ['fast', 110], ['good', 136]]||[['gaming', 78], ['fast', 110], ['good', 136]]|0.5885167464114832|
1084|laptop|I would want a laptop that isn't too small, but lightweight with a decent size screen.  I would like it to run on Windows and have plenty of storage.  I would like it to run fast and have excel on it.|51|female|2|[['too', 33], ['small', 37], ['lightweight', 48], ['decent', 67], ['size', 74], ['screen', 79], ['windows', 114], ['plenty', 131], ['of', 138], ['storage', 141], ['run', 170], ['fast', 174], ['have', 183], ['excel', 188]]|[['small', 37], ['lightweight', 48], ['decent', 67], ['size', 74], ['screen', 79], ['windows', 114], ['plenty', 131], ['of', 138], ['storage', 141], ['run', 170], ['fast', 174], ['and', 179], ['excel', 188]]|[['too', 33], ['small', 37], ['lightweight', 48], ['decent', 67], ['size', 74], ['screen', 79], ['windows', 114], ['plenty', 131], ['of', 138], ['storage', 141], ['fast', 174], ['excel', 188]]||[['too', 33], ['small', 37], ['lightweight', 48], ['decent', 67], ['size', 74], ['screen', 79], ['windows', 114], ['plenty', 131], ['of', 138], ['storage', 141], ['run', 170], ['fast', 174], ['excel', 188]]|0.8526377836722664|['too small', 'lightweight', 'decent size screen', 'excel', 'Windows', 'plenty of storage', 'run fast']|[['too', 33], ['small', 37], ['lightweight', 48], ['decent', 67], ['plenty', 131], ['of', 138], ['fast', 174]]|[['too', 33], ['small', 37], ['lightweight', 48], ['decent', 67], ['plenty', 131], ['fast', 174]]|[['too', 33], ['small', 37], ['lightweight', 48], ['decent', 67], ['plenty', 131], ['of', 138], ['fast', 174]]||[['too', 33], ['small', 37], ['lightweight', 48], ['decent', 67], ['plenty', 131], ['of', 138], ['fast', 174]]|0.9407766990291262|
1085|laptop|I use my laptop heavily for many things including content creation, so I'd choose a laptop with power user specs as I have now. |28|male|7|[['content', 50], ['creation', 58], ['power', 96], ['user', 102], ['specs', 107]]|[['power', 96], ['user', 102], ['specs', 107]]|[['content', 50], ['creation', 58], ['power', 96], ['user', 102], ['specs', 107]]||[['content', 50], ['creation', 58], ['power', 96], ['user', 102], ['specs', 107]]|0.8163771712158809|['power user specs', 'content creation']|[['power', 96], ['user', 102], ['specs', 107]]|[['power', 96]]|[['heavily', 16]]||[['power', 96]]|0.15223880597014927|
1086|laptop|"A used, high-end laptop from a year or two ago, with an AMD Ryzen processor, as well as at least a 1080P screen. It should also be under 15"". "|23|male|6|[['used', 2], ['high', 8], ['end', 13], ['from', 24], ['a', 29], ['year', 31], ['or', 36], ['two', 39], ['ago', 43], ['amd', 56], ['ryzen', 60], ['processor', 66], ['at', 88], ['least', 91], ['a', 97], ['1080p', 99], ['screen', 105], ['under', 131], ['15', 137]]|[['used', 2], ['high', 8], ['end', 13], ['laptop', 17], ['a', 29], ['year', 31], ['or', 36], ['two', 39], ['ago', 43], ['amd', 56], ['ryzen', 60], ['processor', 66], ['1080p', 99], ['screen', 105], ['under', 131], ['15', 137]]|[['high', 8], ['end', 13], ['amd', 56], ['ryzen', 60], ['processor', 66], ['at', 88], ['least', 91], ['a', 97], ['1080p', 99], ['screen', 105], ['under', 131], ['15', 137]]||[['used', 2], ['high', 8], ['end', 13], ['a', 29], ['year', 31], ['or', 36], ['two', 39], ['ago', 43], ['amd', 56], ['ryzen', 60], ['processor', 66], ['at', 88], ['least', 91], ['a', 97], ['1080p', 99], ['screen', 105], ['under', 131], ['15', 137]]|0.5155863433943593|['AMD Ryzen processor', 'under 15"', 'at least a 1080P screen', 'used', 'high-end', 'a year or two ago']|[['used', 3], ['high', 9], ['end', 14], ['at', 89], ['least', 92], ['under', 132]]|[['high', 9], ['end', 14]]|[]||[['high', 9], ['end', 14]]|0.18597560975609762|
1087|laptop|I want a laptop that is very high powered. I want one with a high powered video card so I can play PC games on it. I want a computer with a built in trackpad. I prefer the color red, so I am going to get a red computer.|38|male|6|[['very', 24], ['high', 29], ['powered', 34], ['high', 61], ['powered', 66], ['video', 74], ['card', 80], ['play', 94], ['pc', 99], ['games', 102], ['built', 140], ['in', 146], ['trackpad', 149], ['red', 178]]|[['very', 24], ['high', 29], ['powered', 34], ['high', 61], ['powered', 66], ['video', 74], ['built', 140], ['in', 146], ['trackpad', 149], ['red', 178]]|[['very', 24], ['high', 29], ['powered', 34], ['high', 61], ['powered', 66], ['video', 74], ['card', 80], ['built', 140], ['in', 146], ['trackpad', 149], ['color', 172], ['red', 178]]||[['very', 24], ['high', 29], ['powered', 34], ['high', 61], ['powered', 66], ['video', 74], ['card', 80], ['built', 140], ['in', 146], ['trackpad', 149], ['red', 178]]|0.8173173173173174|['built in trackpad', 'high powered video card', 'very high powered', 'red']|[['very', 24], ['high', 29], ['powered', 34], ['high', 61], ['powered', 66], ['prefer', 161]]|[['very', 24], ['high', 29], ['high', 61]]|[['very', 24], ['high', 29], ['high', 61]]||[['very', 24], ['high', 29], ['high', 61]]|0.7291666666666667|
