Id,title,handle,body_html,tags
734,Cherry Glow Gift Box (4 Jars),cherry-glow-gift-box-4-jars,"The best selling dragees collection, you can't live without. Cocoa n Coffee Almonds, BlackCherry Dragees, Mango Dragees, Blueberry Dragees (100 gms each) Number of Items:1Best Before: 12 month from packagingMarketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Orig","{Couple,"" Hampers""}"
735,Cheveron Print Personalised Notebook,cheveron-print-personalised-notebook,"It's a great gift for someone special. Whether or not, the person likes to maintain a journal, whether or not they are an aspiring writer, this notebook is sure to please them right away. An ideal gift, the spiral bound notebook features a luxury full colour glossy cover. It is available in two sizes - 148 x 210 mm (A5 size ) and 210 x 297 mm (A4 size) each consisting of 50 pages. Customise it with the sender's name to add a personal touch to the gift.Available in two sizes - 148 x 210 mm (A5 size ) &amp; 210 x 297 mm (A4 size)50 pagesFull colour glossy front cover Dimensions: 148 x 210 mm (A5 size ) and 210 x 297 mm (A4 size) Material: Paper Plain Product Weight: 145 gm Package Weight: 310 gm Number of Items: 1 Marketed By: Giftcart Ecommerce Pvt Ltd Customer Care: +91-9910644899 Email: cx@giftcart.com Country of Origin: India","{""COD - GBGT"","" Notebooks""}"
736,Chic Birthday Balloon Bouquet,chic-birthday-balloon-bouquet,"A Rundown By Us:A birthday is a special occasion that comes once a year!Make this day more special for the birthday boy/girl with a beautiful gift.Let this elegant balloon bouquet convey your birthday wishes! Send it to their doorstep to surprise them.As the name says, this bouquet has a very chic and classy look! It comes with a mixed balloon bunch on the top with “HBD” letter foil balloons. We have mainly used golden, black, chrome, confetti and star-shaped foil balloons to design this bouquet.Wish your loved ones a “Happy Birthday” with this creative gift.Simply order this classy HBD balloon bouquet online from here. We will deliver it to your location anywhere in Delhi, Mumbai, Bangalore, Kolkata, Pune, Jaipur, Ahmedabad, Hyderabad, Lucknow, Indore and more. Notes:The balloons will be filled with normal air and not helium or any other gas that could be harmful.Please ensure that someone is present in the room while the decoration is being done.Message Card cannot be selected for this product and will not be delivered along with the product. Bouquet Includes:Silver star foil: 1Golden confetti balloon: 1Golden chrome balloon: 2 PcsBlack balloon: 3PcsHBD silver foilHappy birthday sticker Disclaimer: All major pincodes of the selected city are covered, however if your pincode is on city outskirts then please check with our customer care if your area is serviceable by our flower delivery network Number of Items: 9Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Birthday Gifts"","" Experiential Gifts""}"
737,Chic Birthday Balloon Bouquet- Rose Gold,chic-birthday-balloon-bouquet-rose-gold,"A Rundown By Us:Birthdays are a very special day for everyone!Make it more special for your loved ones with a thoughtful gift and wish.We have designed an adorable balloon bouquet that will fill their day with excitement.The gorgeous arrangement features a rose gold colour theme. It has a transparent bobo balloon in the centre that is surrounded by golden and pink chrome balloon bunches. We have used a mix of tiny and normal balloons to give it an appealing look. Letter foil balloons reading an “HBD” message are arranged nicely from another side. This bouquet can be a perfect birthday gift for your family, friends or any loved ones. It can also be used as a decoration prop for parties. Simply order this pink HBD balloon bouquet online from here. We will deliver it to your location anywhere in Delhi, Mumbai, Bangalore, Kolkata, Pune, Jaipur, Ahmedabad, Hyderabad, Lucknow, Indore and more. Notes:Keep Balloons away from sharp corners and heat.The ballons will be filled with normal air and not helium or any other gas that could be harmful.Please ensure that someone is present in the room while the decoration is being done. Bouquet Includes:1 Bobo Balloon3 Golden Chrome Balloon Inside BoboPink Chrome BalloonsHBD Foil2 Small Bunches of Chrome Balloon Disclaimer: All major pincodes of the selected city are covered, however if your pincode is on city outskirts then please check with our customer care if your area is serviceable by our flower delivery network Number of Items: 7Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Birthday Gifts"","" Experiential Gifts""}"
738,Chicken Dinner Cushion,chicken-dinner-cushion,"A pretty printed cushion with filler. Soft, snuggly personalised cushions make great gifts for any special occasions. Our delightful range of printed cushions will look fabulous on any chair, sofa, bed or couch. Freshen up your home with cushions for all interiors, they are also perfect presents for friends &amp; family.Fabric cover - Material Available :Polyester canvas and velvetFabric filling: High Quality Conjugated Fibre FillerDimension: 30 x 30 cm (12x12)Stitching - Envelop Backing | Outline Seam Stitch | Interlocked from inside. Filler instruction- Cushion Filler comes Vacuum Packed, hence is flat and compressed. Please cut the cover and re-fluff lightly with hand. The cushion will soon retain its shape. Care instruction - Hand wash normal in cold water | Tumble dry low | Warm Iron as needed | Do not Bleach or Soak | Wash Cover Only not the filler. Utility: Gift For Boyfriend|Gift For Husband|Gift For Wife|Gift For Girlfriend|Gift For Friend|Gift For Fiance|Gift for Wedding Anniversary|Gift For Valentines Day|Gift For Engagement|Gift For Love|Gift for husbands birthday|Gift for wife birthday|Gift for boyfriends birthday|Gift for girlfriends birthday""Dimensions: 30 x 30 cm (12x12)Cover fabric option: Available in velvet and Polyester canvasCare Instruction - Hand wash normal in cold water | Tumble dry low | Warm Iron as needed | Do not Bleach or Soak | Wash Cover Only not the filler. Product Weight:250 gmPackage Weight:260 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Cushion and Cushion Covers"","" Out of stock""}"
739,Childproof Coffee Mug,childproof-coffee-mug,A perfect gift for friends to make them feel special. This mug is bound to raise a smile. It is a great addition to the kitchen or office. Material: White Ceramic | High Quality Digital Printing | Premium Quality Gloss FinishedDimension: 7 x 10 cm|Capacity: 300 ml | Package content: 1 MugFeatures: Dishwasher &amp; Microwave Safe | Non Toxic | BPA Free | Environment Friendly | Reusable and Odorless| 2 Layered Thermocol Safe Packaging.Please Note: *Colour of the actual product may slightly vary due to different photographic lighting sources or your display color settings.Utility: Gift For Boyfriend|Gift ForAnniversaryDishwasher Safe: YesMicrowave Safe: YesCapacity: 300 mlDimensions: 7 x 10 cmMaterial: CeramicProduct Weight: 325 gmPackage Weight: 433 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India,"{""COD - GBGT"","" Coffee Mugs""}"
740,Chill Pill Friendship Jar,chill-pill-friendship-jar,"Statutory Warning: Ignoring meds is not an option. As advised by expert stress fighters, a 'pill' or two can REALLY have a calming effect on someone ailing from tension and panic. A jar of Cadbury gems would give the required sugar rush every time the 'tension-ometer' starts beeping in a frenzy. It's an ideal gift for a friend or loved one who is too intensely tensed all the time, it comes with dosage instructions and a list of side-effects. Glass jarJar Diamension: 10.5 x 5.5 cmProduct Weight: 300 gm (150 gm Glass Jar)Package Weight: 400gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Message in a bottle""}"
741,Chill Pill Jar,chill-pill-jar,"Statutory Warning: Ignoring meds is not an option. As advised by expert stress fighters, a 'pill' or two can REALLY have a calming effect on someone ailing from tension and panic. A jar of Cadbury gems would give the required sugar rush every time the 'tension-ometer' starts beeping in a frenzy. It's an ideal gift for a friend or loved one who is too intensely tensed all the time, it comes with dosage instructions and a list of side-effects. utility : perfect for boyfriend, husband, wife , girlfriend, partner for their birthday, anniversary, valentines day or just because Glass jar150 g Cadbury gemsJar: 10.5 x 5.5 cmProduct Weight: 400 gmPackage Weight: 460 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Message in a bottle"","" Personalised Gifts""}"
742,Chinese Letter Engraved Silver Ring,chinese-letter-engraved-silver-ring,"Chinese Letter Engraved Silver Ring can represent various meanings, names, or phrases. it’s essential to ensure accuracy and clarity in selecting the characters. The product is made of 925 sterling silver which can be customised to your needs. Kindly get in touch with us before placing the order to know the exact price. Note: Prices are subject to vary based on the current market price. Number of Item: 1Weight: 4 to 8 GmMarketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{Jewellery,"" Jewelry"","" Rings"","" Silver Jewellery""}"
743,Chiristmas car velvet cushion,chiristmas-car-velvet-cushion,"Elevate your home d‚cor with our beautifully designed cushions that combine comfort and style effortlessly. Made from high-quality fabric and featuring eye-catching prints, these cushions are perfect for adding a cozy touch to your living room, bedroom, or any nook that needs a little charm. Whether placed on a couch, bed, or chair, they bring warmth and character to any space. Soft, durable, and aesthetically pleasing?these cushions are a simple way to refresh your interiors.Fabric cover -ÿMaterial Available: Polyester canvas and velvetFabric filling:ÿHigh-Quality Conjugated Fibre FillerDimension:ÿ30 x 30 cm (12x12)Stitching -ÿEnvelop Backing | Outline Seam Stitch | Interlocked from inside.Filler instruction-ÿCushion Filler comes Vacuum Packed, hence is flat and compressed. Please cut the cover and re-fluff lightly with your hand. The cushion will soon retain its shape.ÿCare instruction -ÿHand wash normally in cold water | Tumble dry low | Warm Iron as needed | Do not Bleach or Soak | Wash Cover Only not the filler.Product Weight:250 gmPackage Weight:260 gmNumber of Items:ÿ1Marketed By :ÿGiftcart Ecommerce Pvt LtdCustomer Care:+91-9910644899Email:ÿcx@giftcart.comCountry of Origin: India",{}
744,Choco Bar Personalised Cover Celebrating Work,choco-bar-personalised-cover-celebrating-work,"When you wish for the loved ones from deep within the heart, this is a perfect gift you should go for.Wrapped and presented in a premium quality glossy paper, Bournville / Cadbury Chocolate that comes in two sizes 80 gm and 260 gms (130 gm x 2) respectively.Personalised choco bars are foil wrapped then finished with a full colour, personalised wrapper for maximum impact and presentation.Utility Wish to send someone a card? Send a Chocolate Card instead. A special occasion? This is not just any card, but a delicious edible choco bar wrapped inside your card featuring your own photo / text! Send someone a unique choco bar card, printed especially for the one you wish to surprise! Ingredients: Bournville Ingredients: Sugar, Cocoa Solids (45%#), Cocoa Butter (25%#), Milk Solids, Emulsifiers (442, 476) Contains Added Flavour (Natural And Nature Identical Flavouring Substances) Allergen Information: Contains Milk, Manufactured on Equipment That Also Processes Products Containing Tree Nuts..Cadbury Dairy Milk Ingredients: Sugar, Milk Solids (23%*), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical And Artificial (Vanilla) Flavouring Substances). Allergen Information: Contains Milk. May Contain Tree Nuts, Wheat, Barley And Soy.Care Instructions: Store the Chocolate in the refrigerator before consuming. Please consume before the expiry date.Material: Wrap Glossy Paper 180 gsmDimensions: Bournville 3.5 x 22.1 x 52.1 cm/ Cadbury Dairy Milk ‎3.5 x 22.1 x 52.1 cmProduct Weight: 100 gm / 280 gmPackaged Weight 200 gm / 400 gmNumber of Items: Bournville 1 (80 gm) / Cadbury Dairy Milk - 2 pcs (130 gm each)Expiry Date : Best before 12 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bars"","" Choco Bars - GBGT"","" COD - GBGT""}"
745,Choco Bar Personalised Cover Great Job!,choco-bar-personalised-cover-great-job,"When you wish for the loved ones from deep within the heart, this is a perfect gift you should go for.Wrapped and presented in a premium quality glossy paper, Bournville / Cadbury Chocolate that comes in two sizes 80 gm and 260 gms (130 gm x 2) respectively.Personalised choco bars are foil wrapped then finished with a full colour, personalised wrapper for maximum impact and presentation. Ingredients: Bournville Ingredients: Sugar, Cocoa Solids (45%#), Cocoa Butter (25%#), Milk Solids, Emulsifiers (442, 476) Contains Added Flavour (Natural And Nature Identical Flavouring Substances) Allergen Information: Contains Milk, Manufactured on Equipment That Also Processes Products Containing Tree Nuts.. Cadbury Dairy Milk Ingredients: Sugar, Milk Solids (23%*), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical And Artificial (Vanilla) Flavouring Substances). Allergen Information: Contains Milk. May Contain Tree Nuts, Wheat, Barley And Soy. Care Instructions: Store the Chocolate in the refrigerator before consuming. Please consume before the expiry date. utility : perfect for employees, work anniversary or as corporate gift Material: Wrap Glossy Paper 180 gsmDimensions: Bournville 3.5 x 22.1 x 52.1 cm/ Cadbury Dairy Milk ‎3.5 x 22.1 x 52.1 cmProduct Weight: 100 gm / 280 gmPackaged Weight 200 gm / 400 gmNumber of Items: Bournville 1 (80 gm) / Cadbury Dairy Milk - 2 pcs (130 gm each)Expiry Date : Best before 12 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bars"","" Choco Bars - GBGT"","" COD - GBGT""}"
746,Choco Bar Personalised Cover Happy Working,choco-bar-personalised-cover-happy-working,"When you wish for the loved ones from deep within the heart, this is a perfect gift you should go for.Wrapped and presented in a premium quality glossy paper, Bournville / Cadbury Chocolate that comes in two sizes 80 gm and 260 gms (130 gm x 2) respectively.Personalised choco bars are foil wrapped then finished with a full colour, personalised wrapper for maximum impact and presentation.Utility Wish to send someone a card? Send a Chocolate Card instead. A special occasion? This is not just any card, but a delicious edible choco bar wrapped inside your card featuring your own photo / text! Send someone a unique choco bar card, printed especially for the one you wish to surprise! Ingredients: Bournville Ingredients: Sugar, Cocoa Solids (45%#), Cocoa Butter (25%#), Milk Solids, Emulsifiers (442, 476) Contains Added Flavour (Natural And Nature Identical Flavouring Substances) Allergen Information: Contains Milk, Manufactured on Equipment That Also Processes Products Containing Tree Nuts..Cadbury Dairy Milk Ingredients: Sugar, Milk Solids (23%*), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical And Artificial (Vanilla) Flavouring Substances). Allergen Information: Contains Milk. May Contain Tree Nuts, Wheat, Barley And Soy.Care Instructions: Store the Chocolate in the refrigerator before consuming. Please consume before the expiry date.Material: Wrap Glossy Paper 180 gsmDimensions: Bournville 3.5 x 22.1 x 52.1 cm/ Cadbury Dairy Milk ‎3.5 x 22.1 x 52.1 cmProduct Weight: 100 gm / 280 gmPackaged Weight 200 gm / 400 gmNumber of Items: Bournville 1 (80 gm) / Cadbury Dairy Milk - 2 pcs (130 gm each)Expiry Date : Best before 12 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bars"","" Choco Bars - GBGT"","" COD - GBGT""}"
747,Choco Bary Easter Personalised Choco Bar,choco-bary-easter-personalised-choco-bar,"When you wish for the loved ones from deep within the heart, this is a perfect gift you should go for.Wrapped and presented in a premium quality glossy paper, Bournville / Cadbury Chocolate that comes in two sizes 80 gm and 260 gms (130 gm x 2) respectively.Personalised choco bars are foil wrapped then finished with a full colour, personalised wrapper for maximum impact and presentation. Utility Wish to send someone a card? Send a Chocolate Card instead. A special occasion? This is not just any card, but a delicious edible choco bar wrapped inside your card featuring your own photo / text! Send someone a unique choco bar card, printed especially for the one you wish to surprise! Ingredients: Bournville Ingredients: Sugar, Cocoa Solids (45%#), Cocoa Butter (25%#), Milk Solids, Emulsifiers (442, 476) Contains Added Flavour (Natural And Nature Identical Flavouring Substances) Allergen Information: Contains Milk, Manufactured on Equipment That Also Processes Products Containing Tree Nuts.. Cadbury Dairy Milk Ingredients: Sugar, Milk Solids (23%*), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical And Artificial (Vanilla) Flavouring Substances). Allergen Information: Contains Milk. May Contain Tree Nuts, Wheat, Barley And Soy. Care Instructions: Store the Chocolate in the refrigerator before consuming. Please consume before the expiry date. utility : perfect to gift to your family, friends &amp; loved once on easter Material: Wrap Glossy Paper 180 gsmDimensions: Bournville 3.5 x 22.1 x 52.1 cm/ Cadbury Dairy Milk ‎3.5 x 22.1 x 52.1 cmProduct Weight: 100 gm / 280 gmPackaged Weight 200 gm / 400 gmNumber of Items: Bournville 1 (80 gm) / Cadbury Dairy Milk - 2 pcs (130 gm each)Expiry Date : Best before 12 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bars"","" Choco Bars - GBGT"","" COD - GBGT""}"
748,Choco Overloaded Truffle Cake,choco-overloaded-truffle-cake,"Just by ordering a tempting chocolate cake, you can surprise your loved one in an amazing way. It may be any kind of celebration, but the sweetness overloaded cake make it more memorable in everyone's thought. What we'll provide: Cake Flavour- Truffle Shape- Round Size- 15 cm (6)in Diameter This cake is hand-delivered in a good-quality cardboard box. Material: CreamProduct Weight: Half Kg - 500 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India All major pincodes of the selected city are covered, however if your pincode is on city outskirts then please check with our customer care if your area is serviceable by our flower delivery network",{Cake}
749,Choco Truffle Cake,choco-truffle-cake,"Get this truffle cake enriched with the goodness of chocolates in every layer. What we'll provide: Cake Flavour- Truffle Shape- Round Size- 15 cm (6)in Diameter This cake is hand-delivered in a good-quality cardboard box. Material: CreamProduct Weight: Half Kg - 500 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India All major pincodes of the selected city are covered, however if your pincode is on city outskirts then please check with our customer care if your area is serviceable by our flower delivery network",{Cake}
750,Chocolate And Mom Table Top Hamper Gift For Mother's Day,chocolate-mom-table-top-hamper-gift-for-mothers-day,"Giftcart's delightful range of Gift Hampers of Tabletop Keepsakes &amp; Cadbury Bournville bar make a wonderful gift to a loved one. The keepsakes look fabulous on any table, desk, bedside table and the sweet treat would surely enhance the mood. Together they will always remind the loving gift recipient of your love everytime its used .The 2 piece combo makes perfect presents for Mothers Day, Birthday. The Tabletop Keepsakes are full of Emotion, motivation and reflects of your love. They definitely make great gifts for any special occasions such as Mom Birthday, Mom Anniversary, mother's day celebration ideas, hamper for mom Utility: Gift for Mom, Mother, Birthday, keepsake gift, unique gift ideas for mom. The perfect opportunity to say Thank you to Love and to show to your love how much you love and care for her. Bournville Ingredients: Sugar, Cocoa Solids (45%#), Cocoa Butter (25%#), Milk Solids, Emulsifiers (442, 476) Contains Added Flavour (Natural And Nature Identical Flavouring Substances) Allergen Information: Contains Milk, Manufactured on Equipment That Also Processes Products Containing Tree Nuts.. Care Instructions: Wipe the tabletop clean with a soft cloth. Store the Chocolate in the refrigerator before consuming. Please consume before the expiry date. Material: Medium-density fibreboard (MDF) Engineered wood 4mm thicknessDimensions: 9 x 9 cm (3.5 x 3.5 )TabletopProduct Weight: 110 gmPackaged Weight 200 gmNumber of Items: 2Expiry Date : Best before 12 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bar"","" Choco Bars"","" COD - GBGT"","" Hampers""}"
751,Chocolate Body Paint (Edible) Romantic Gift for Couples,chocolate-body-paint-edible-romantic-gift-for-couples,"Chocolate Body Paint – Edible Paint | Gift for Couples | Romantic GiftsJust imagine the fun a couple can have. This is a great gift to pick up for yourself to add a bit of excitement in your bedroom!!!Use the Body Brush or just Dip your tongue or finger in and spread these anywhere on your body.Write sensuous messages on your partners body and then lick or eat your own words. Sexy Edible Playtime never tasted so good! Product Contents: Cocoa powder, Milk Cream, Pure Chocolate, Sugar, Salt, Purified Butter, Alcohol Flavoring and Class II Preservative (Sodium Benzoate). Package Contents: 1 * Chocolate Body Paint – Edible Paint, 1 * Brush Number of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Naughty Gifts""}"
752,Chocolate Box And Ganesha Giftset,chocolate-box-and-ganesha-giftset,"A sweet gift to give this Diwali with your sweet wishes. We all know that sweets and utensils are years old gifting style now. Go with this amazing gift set that includes a beautiful polyresin Ganeshaa idol of about 12 cm, a chocolate box with 6 Ferrero Rocher chocolates. and optional card to make your wishes a little heart warming. Set includes 21 Ganesha Idol: 12 cm (5)1 Box Ferrero Rocher (6 pcs.)Material: PolyresinCard option availaibleProduct Weight: 930gmPackage Weight: 1000gmNumber of Items: 2Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT""}"
753,Chocolate Cream Cake,chocolate-cream-cake,"The taste and flavourful enriches in the dessert will induce your loved ones to have it even one more bite. This is a must-try flavour to highlight your celebration. What we'll provide: Cake Flavour- Chocolate Shape- Round Size- 15 cm (6)in Diameter This cake is hand-delivered in a good-quality cardboard box. Material: CreamProduct Weight: Half Kg - 500 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India All major pincodes of the selected city are covered, however if your pincode is on city outskirts then please check with our customer care if your area is serviceable by our flower delivery network","{bestseller,"" Bestsellers"","" Cake""}"
754,Chocolate Day Personalised Photo Choco Delight,chocolate-day-personalised-photo-chocolate,"We use an incredible blend of milk and dark chocolates. The subsequent chocolate has a rich surface and fully delectable in taste without being excessively sweet. The Chocolates are pure vegetarian Our product are made with utmost care and delicacy with keeping high standard of maintaining the hygiene. Each chocolates weigh about 10-15gms For printed/photo chocolate:The Printing will be done on the chocolate with edible ink which is safe for consumption. Ingredients that are used for printing on chocolates are the best in industry and are imported which have global standardization. Printing might be affected in some area in rare scenarios, the product is still good to go for consumptions. Box(No of chocolates) Plain Heart Chocolates Photo Chocolate 6 Chocolate Box 3 3 12 Chocolate Box 10 2 18 Chocolate Box 14 4 Chocolate Box : We are using premium quality wooden box, dimesions are as per below. Box Size(No of chocolates) Box Dimensions Total Weight(Box + Chocolate) 6 Chocolate Box 180 x 100 x 32 mm 230 grams 12 Chocolate Box 230 x 150 x 32 mm 420 grams 18 Chocolate Box 320 x 150 x 32 mm 650 grams Shelf Life: 3 Months.Keep it in a cool dry and hygienic place.The temperature required Up-to 25 degrees.Refrigeration not necessarily required if temperature is maintained. Utility: Express your love this chocolate Day it's the perfect romantic gift to show your affection. Surprise your special someone with this sweet gesture that says, 'I love you' in the most heartfelt way. Perfect for couples, partners, girlfriend, boyfriend , husband , wife Ingredients: Sugar, Edible Vegetable Fat (Hydrogenated), Milk Solids, Cocoa Solids, Emulsifiers (INS322), VANILLANumber of Items: 6/12/18Expiry Date : Best before 3 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bar"","" Choco Bars"","" Edible Photo Personalised Chocolate"","" Personalised Gifts""}"
755,Chocolate Gift For Sister,chocolate-gift-for-sister,"These chocolate pieces are delectable blend of milk and dark chocolates. The chocolate has a rich surface and is incredible in taste without being excessively sweet. These are personalised by printing on the warp of chocolate, the box and your message for the recipient is printed on butter paper. Photo / Text printing options are as per given images and the fields provided for you to add the details The Chocolates are pure vegetarian Our product are made with utmost care and delicacy with keeping high standard of maintaining the hygiene. Each chocolates weigh about 10-15gms The Printing will be done on the chocolate wrap , box and on the butter paper for the given message. Chocolate Box : We are using premium quality wooden box, dimensions are as per below. Box Size(No of chocolates) Box Dimensions Total Weight(Box + Chocolate) 6 Chocolate Box 180 x 100 x 32 mm 230 grams 12 Chocolate Box 230 x 150 x 32 mm 420 grams 18 Chocolate Box 320 x 150 x 32 mm 650 grams Shelf Life: 3 Months.Keep it in a cool dry and hygienic place.The temperature required Up-to 25 degrees.Refrigeration not necessarily required if temperature is maintained. Ingredients: Sugar, Edible Vegetable Fat (Hydrogenated), Milk Solids, Cocoa Solids, Emulsifiers (INS322), VANILLANumber of Items: 6/12/18Expiry Date : Best before 3 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bar"","" Choco Bars"","" Edible Photo Personalised Chocolate"","" Personalised Gifts""}"
756,Chocolate Hamper For Sister,chocolate-hamper-for-sster,"Giftcart's delightful range of Gift Hampers of Tabletop Keepsakes &amp; Cadbury Bournville bar make a wonderful gift to a loved one. The keepsakes look fabulous on any table, desk, bedside table and the sweet treat would surely enhance the mood. Together they will always remind the loving gift recipient of your love every time its used The 2 piece combo makes perfect presents for Birthday. The Tabletop Keepsakes are full of Emotion, motivation and reflects of your love. They definitely make great gifts for any special occasions such as Sister, Rakhi Gifts Utility: Gift for Friend, Brother, sister, Birthday, keepsake gift, The perfect opportunity to say Thank you to Love and to show to your love how much you love and care for him. Bournville Ingredients: Sugar, Cocoa Solids (45%#), Cocoa Butter (25%#), Milk Solids, Emulsifiers (442, 476) Contains Added Flavour (Natural And Nature Identical Flavouring Substances) Allergen Information: Contains Milk, Manufactured on Equipment That Also Processes Products Containing Tree Nuts. Care Instructions: Wipe the tabletop clean with a soft cloth. Store the Chocolate in the refrigerator before consuming. Please consume before the expiry date. Material: Medium-density fibreboard (MDF) Engineered wood 4mm thicknessDimensions: 9 x 9 cm (3.5 x 3.5 )TabletopProduct Weight: 110 gmPackaged Weight 200 gmNumber of Items: 2Expiry Date : Best before 12 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bar"","" Choco Bars"","" COD - GBGT"","" Hampers""}"
757,Chocolate Truffle Cream Cake,chocolate-truffle-cream-cake,"It's not just a perfect treat for your taste buds but also for a birthday or an anniversary. So, share this delicious Choco Truffle cake What we'll provide: Cake Flavour- Truffle Shape- Round Size- 15 cm (6)in Diameter This cake is hand-delivered in a good-quality cardboard box. Material: CreamProduct Weight: Half Kg - 500 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India All major pincodes of the selected city are covered, however if your pincode is on city outskirts then please check with our customer care if your area is serviceable by our flower delivery network",{Cake}
758,EZE BOUJEE | UNISEX PERFUMES,eze-boujee-unisex-perfumes,"Rich Fragrance &amp; Perfect for everyday use: Experience a fragrance that channels retro vibes in a gold metallic bottle. This perfume blends leathery and oud notes, evoking timeless glamour and sophistication. FRAGRANCE NOTES: Top Notes : Sicilian Bergamot,Pink Pepper Middle Notes : Oud, White amber, Rosemary Base Notes : Leather, Musk, Haitian Vetiver PERFUME CARE: The key is to keep it away from light and heat – so a bathroom, or a sunny dressing table, is NOT the place for your fragrance: higher temperatures affect the top notes of a fragrance, making it musty, or more sour. If you have a dark cupboard to store perfume in, or a drawer, that’s perfect. Ideally, keep it in the box, or – if you’re using a drawer – wrap bottles in a scarf, or even plastic, unglamorous as that is. Be aware that perfume that’s never been opened and kept in a dark place can last more than 40 years! Product Weight: 30ml and 75mlNumber of Items: 1Expiration Date: 36 Months from Manufacturing DateMarketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India",{Perfumes}
